id,likesCount,owner,ownerProfilePicUrl,ownerUsername,parentCommentUrl,postUrl,replies,repliesCount,text,timestamp
17861033040223921,29753,"{'fbid_v2': 17841401940952674, 'full_name': '𝓜𝓪𝔂𝓽𝓱𝓪𝓶 𝓐𝓵𝓲', 'id': '2021392698', 'is_mentionable': True, 'is_private': False, 'is_verified': False, 'latest_reel_media': 1739316757, 'profile_pic_id': '3555617107285258331', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/472665965_1137927194636482_4937309687378419480_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=K62RZvBMkbMQ7kNvgFjV9-2&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYDLJh4ZRwzLdOBDPF9zxr9QaUlcYRjJ0vHAofWCoiV36g&oe=67B2070B&_nc_sid=f5838a', 'username': 'maytham_99'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/472665965_1137927194636482_4937309687378419480_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=K62RZvBMkbMQ7kNvgFjV9-2&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYDLJh4ZRwzLdOBDPF9zxr9QaUlcYRjJ0vHAofWCoiV36g&oe=67B2070B&_nc_sid=f5838a,maytham_99,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],153,Next fight:  Jake Paul Vs Morgan Freeman,2024-11-16T22:31:53.000Z
18054591232745189,8055,"{'fbid_v2': 17841401895608074, 'full_name': 'reid clow', 'id': '1796799186', 'is_mentionable': True, 'is_private': False, 'is_verified': True, 'latest_reel_media': 0, 'profile_pic_id': '3068261455820964803', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/337875440_762231835540791_8896641676502646074_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=1k_85HOK_KIQ7kNvgG6QG7O&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYAIz-QDLf1AWspswddnB0_-RvsLJMcxiW0_HUpg730Dog&oe=67B21A48&_nc_sid=f5838a', 'username': 'swearjar'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/337875440_762231835540791_8896641676502646074_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=1k_85HOK_KIQ7kNvgG6QG7O&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYAIz-QDLf1AWspswddnB0_-RvsLJMcxiW0_HUpg730Dog&oe=67B21A48&_nc_sid=f5838a,swearjar,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],20,Next fight Jake Paul vs. 100 year old ex-President Jimmy Carter,2024-11-16T22:28:50.000Z
18026054879447462,6164,"{'fbid_v2': 17841401406065056, 'full_name': '𝚂𝚊𝚗𝚓𝚊', 'id': '1603566868', 'is_mentionable': True, 'is_private': False, 'is_verified': False, 'latest_reel_media': 0, 'profile_pic_id': '3528902149433994716', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/470942800_1290490815606143_3991089435466698383_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=Hw24f6_UNuoQ7kNvgEcNYRZ&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYBQupWesyH3DDGv7fP88O5N1Tyatn5KDW0zAiun1_jElg&oe=67B214EE&_nc_sid=f5838a', 'username': 'sanja.peulic'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/470942800_1290490815606143_3991089435466698383_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=Hw24f6_UNuoQ7kNvgEcNYRZ&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYBQupWesyH3DDGv7fP88O5N1Tyatn5KDW0zAiun1_jElg&oe=67B214EE&_nc_sid=f5838a,sanja.peulic,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],96,Who's next? Biden?,2024-11-16T22:27:45.000Z
18049206962067053,10591,"{'fbid_v2': 17841453670831160, 'full_name': 'peck', 'id': '53689293027', 'is_mentionable': True, 'is_private': False, 'is_verified': False, 'latest_reel_media': 1739320535, 'profile_pic_id': '3497819631722752728', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/465963732_551393347496313_5974742790865616178_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=2CWywB-Er04Q7kNvgFcGwRI&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYD_ZP5y1EC1tCLRMSblSEwC9IlwlwAeQtool2RdlxYyfQ&oe=67B1FDC6&_nc_sid=f5838a', 'username': '_jjpeck2'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/465963732_551393347496313_5974742790865616178_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=2CWywB-Er04Q7kNvgFcGwRI&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYD_ZP5y1EC1tCLRMSblSEwC9IlwlwAeQtool2RdlxYyfQ&oe=67B1FDC6&_nc_sid=f5838a,_jjpeck2,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],27,"your brother beat a guy 3 decades out of his prime, congrats",2024-11-16T22:44:21.000Z
17873977170212443,1466,"{'fbid_v2': 17841400548352508, 'full_name': 'Sam', 'id': '800530278', 'is_mentionable': True, 'is_private': False, 'is_verified': True, 'latest_reel_media': 1739323223, 'profile_pic_id': '3538568878374719388', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/472282030_1117324292824532_1487865326682819471_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=XNzTV7TGEikQ7kNvgFf0D_D&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYCg3ifMiUUmxEMk9neViyp_Mq5SkfvCS0XyeaBPLYypOQ&oe=67B1F539&_nc_sid=f5838a', 'username': 'samgolbach'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/472282030_1117324292824532_1487865326682819471_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=XNzTV7TGEikQ7kNvgFf0D_D&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYCg3ifMiUUmxEMk9neViyp_Mq5SkfvCS0XyeaBPLYypOQ&oe=67B1F539&_nc_sid=f5838a,samgolbach,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],25,the tag 😂😂,2024-11-16T22:34:45.000Z
18019816520632359,13114,"{'fbid_v2': 17841402958564356, 'full_name': 'Peter 🦇', 'id': '3074842618', 'is_mentionable': True, 'is_private': True, 'is_verified': False, 'profile_pic_id': '3543061027635885310', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/472968080_617224284139258_4421917095282542402_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=lVGMQEseVCkQ7kNvgGdSWuJ&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYC1QSKasFaBwwg_qiuKFbukUXJXpXUH4VOfUjmM2fIW2Q&oe=67B21091&_nc_sid=f5838a', 'username': 'peterrvaldezz'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/472968080_617224284139258_4421917095282542402_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=lVGMQEseVCkQ7kNvgGdSWuJ&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYC1QSKasFaBwwg_qiuKFbukUXJXpXUH4VOfUjmM2fIW2Q&oe=67B21091&_nc_sid=f5838a,peterrvaldezz,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],305,Fight real boxers in their prime,2024-11-16T22:25:42.000Z
18072625204553483,24568,"{'fbid_v2': 17841401037138628, 'full_name': 'Bushgreen', 'id': '552162571', 'is_mentionable': True, 'is_private': False, 'is_verified': False, 'latest_reel_media': 0, 'profile_pic_id': '3488995411739315014', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/464998581_529856099850828_3285483448808598692_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=GpX1OzEE9UwQ7kNvgH-2ew9&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYDIAz8xVFAj68JNrBm5ZJlK4B3T5NUCkTDOar7Rpj3p4Q&oe=67B1F760&_nc_sid=f5838a', 'username': 'bushgreen260'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/464998581_529856099850828_3285483448808598692_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=GpX1OzEE9UwQ7kNvgH-2ew9&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYDIAz8xVFAj68JNrBm5ZJlK4B3T5NUCkTDOar7Rpj3p4Q&oe=67B1F760&_nc_sid=f5838a,bushgreen260,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],74,WHEN THE PAULS GET OLD I WANT TO SEE YOUNG PEOPLE FIGHT THE OLD PAULS.,2024-11-16T22:25:56.000Z
18071182285694062,1,"{'fbid_v2': 17841401608480872, 'full_name': 'Sabby', 'id': '55861616', 'is_mentionable': True, 'is_private': False, 'is_verified': True, 'latest_reel_media': 1739304269, 'profile_pic_id': '3496334053379588537', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/465926826_899589308933659_9149763286137394347_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=RJyBWJNb0dEQ7kNvgGi97e8&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYAVzHirTerFZ-zfybh9-K2to2hV0t-QIEsW_Qj9tCD8Dg&oe=67B212A6&_nc_sid=f5838a', 'username': 'sabatinop24'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/465926826_899589308933659_9149763286137394347_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=RJyBWJNb0dEQ7kNvgGi97e8&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYAVzHirTerFZ-zfybh9-K2to2hV0t-QIEsW_Qj9tCD8Dg&oe=67B212A6&_nc_sid=f5838a,sabatinop24,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],0,👏,2025-02-02T14:57:52.000Z
18044204012169216,1285,"{'fbid_v2': 17841416106692304, 'full_name': 'saturn', 'id': '16258432889', 'is_mentionable': True, 'is_private': False, 'is_verified': False, 'latest_reel_media': 0, 'profile_pic_id': '3547220342223552035', 'profile_pic_url': 'https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/474269771_636689008884645_6023310656576064843_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=nV1e4YM2lZoQ7kNvgESa5-W&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYCw6RCzqPJDuw9tD84B5XJ7vKjL0KrPOE4a2wwO53UH5Q&oe=67B1F246&_nc_sid=f5838a', 'username': 'ayo_._saturn'}",https://scontent-muc2-1.cdninstagram.com/v/t51.2885-19/474269771_636689008884645_6023310656576064843_n.jpg?stp=dst-jpg_e0_s150x150_tt6&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2AFhmgOxY86WsFr4MQg6B36fvWVR-OAoYAnt4rwto3TNtpAmWbkimgsY3-IHWyiMWqg&_nc_ohc=nV1e4YM2lZoQ7kNvgESa5-W&_nc_gid=36eb950988c74848a912f3dd90aa93fc&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AYCw6RCzqPJDuw9tD84B5XJ7vKjL0KrPOE4a2wwO53UH5Q&oe=67B1F246&_nc_sid=f5838a,ayo_._saturn,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],19,why have i seen logan vs jake yet?,2024-11-16T22:37:52.000Z
18013624439638812,57,"{'fbid_v2': 17841407573336464, 'full_name': 'Zion Dyer', 'id': '7571724444', 'is_mentionable': False, 'is_private': False, 'is_verified': False, 'latest_reel_media': 0, 'profile_pic_url': 'https://instagram.fscl3-1.fna.fbcdn.net/v/t51.2885-19/464760996_1254146839119862_3605321457742435801_n.png?stp=dst-jpg_e0_s150x150_tt6&cb=8577c754-c2464923&_nc_ht=instagram.fscl3-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AFLrBa1ylMPO_3jXqACqAkj5j7yht46TEv4JzSc0MqqkTnX3oejKKUuXAJaRO1I3X4&_nc_ohc=9LuxUUbEGisQ7kNvgHeV4GX&_nc_gid=35931d4a1bd14f86a3ac3fac4b3bc4b8&edm=AFs-eF8BAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5-cb8577c754-c2464923&oh=00_AYD1Zofu2Iw03pOO10eODG5qh7eUEOAtikKOTwn4ZI14gw&oe=67B1FEA8&_nc_sid=72eed0', 'username': 'turnublackish'}",https://instagram.fscl3-1.fna.fbcdn.net/v/t51.2885-19/464760996_1254146839119862_3605321457742435801_n.png?stp=dst-jpg_e0_s150x150_tt6&cb=8577c754-c2464923&_nc_ht=instagram.fscl3-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2AFLrBa1ylMPO_3jXqACqAkj5j7yht46TEv4JzSc0MqqkTnX3oejKKUuXAJaRO1I3X4&_nc_ohc=9LuxUUbEGisQ7kNvgHeV4GX&_nc_gid=35931d4a1bd14f86a3ac3fac4b3bc4b8&edm=AFs-eF8BAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5-cb8577c754-c2464923&oh=00_AYD1Zofu2Iw03pOO10eODG5qh7eUEOAtikKOTwn4ZI14gw&oe=67B1FEA8&_nc_sid=72eed0,turnublackish,,https://www.instagram.com/p/DCcup92JtUP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,[],0,Jake Paul vs Logan Paul next,2024-11-19T13:41:10.000Z
