comments,id,likes,text,verified,postUrl,engagement_score
4,18033220838229769,62,Great trump!!❤️,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,66
36,18052819304127779,266,Exactly what the American people voted for,True,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,302
4,18060353167787488,51,He’s a machine. Best ever.,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,55
10,18065609767861826,31,Only President Trump with God’s help can get these thing done. 👍🏼Thank You Jesus thank you Mr President Trump The Best President Ever. 💯❤️🇺🇸,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,41
32,18052198391118898,231,Feels good to have a President again 🔥,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,263
18,18036424325153314,45,He's a man of his word,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,63
2,17888813682187991,13,"I’m waking up another day in paradise with President Trump. Thank you, sir.🇺🇸🇺🇸MAGA 🇺🇸",False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,15
0,17911293678071376,4,GOD BLESS YOU SIR🙏 YOU ARE A MAN OF PROMISES KEPT,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,4
2,17895381642055226,23,What campaign promises?,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,25
12,18258412249263241,24,"PROMISES MADE, PROMISES KEPT",False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,36
0,18163265236328759,1,🙌❤️🇺🇸🙏 yes,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,1
13,18023655752361819,50,Ukraine war was supposed to be over the first day.,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,63
0,18085971778574894,1,Please get pharma sorted out. Fauci and Gates Covid debacle. We are waiting,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,1
8,18156085666343322,19,I want his supporters to get everything they have coming to them 😊,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,27
45,18018155519466713,116,Finally someone getting it done - we have waited four years for this,False,https://www.instagram.com/p/DFiojsBOT30/?igsh=eGxnYXVhaXh0YTZ3,161
34,17933458940990584,664,Moving to Sam's Club,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,698
1,18264198505258649,27,Costco is as woke as Disney! BOYCOTT!,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,28
1,18134807695385090,22,#boycottcostco,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,23
14,18067197160865335,519,Based in Washington state and look at what liberals did to Seattle.,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,533
10,18069944566695177,496,"Time to sell your COSTCO stock America, the company is run by leftists!",False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,506
6,18044745224034224,188,I'm proud to say- I never bought membership to Costco. Knowing this- I'm really glad I never did!,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,194
81,17899718469101854,918,It’s very disappointing that Costco is apart of the problem. 🇺🇸MAGA🇺🇸 America has Spoken !!!,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,999
25,18488658304041522,155,I found Costco foods quality getting worse and worse,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,180
0,17883449220214363,35,Sam’s Club for me. ✌🏼🇺🇸,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,35
26,18017982686655673,292,"Canceling my membership, this is sad",False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,318
1,17976758567809945,74,Sam’s Club!!,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,75
16,18038791574600963,116,I wear my Trump gear loud and proud in Costco just to show them who’s there president 👊,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,132
0,18116241919441550,3,Bud Lite Costco.,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,3
6,18283674418218998,5,Well I’ll be shopping solely at Sam’s Club now!,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,11
1,17850817644352707,5,Guess I won’t be renewing my membership,False,https://www.instagram.com/p/DFhdBGytgJM/?igsh=MXBhd2NqZ3FpeGlmcw==,6
95,18011698001687001,1683,"The democrats are blaming the republicans and President Trump. Always trying to divide the country…times like this, is where we should come together. This has nothing to do with politics.",False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,1778
44,18151397359358318,930,What is up with all these plane crashes recently?!! Thoughts and prayers. 🙏 This week feels so heavy.,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,974
18,18068891602831627,494,January trying to let everyone know it’s not finished yet…,True,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,512
7,18053324699506201,208,Jesus is coming soon…,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,215
2,17882588769125752,242,"""The Lord is near to the brokenhearted and saves the crushed in spirit."" Psalm 34:18 ESV
We mourn the loss of life in the tragic crash in Philadelphia, Pennsylvania. We extend our sympathy and prayers to their family, Medical Support, and  loved ones involved who are injured, and those who are now suffering in their earthly absence.
With heavy hearts, we pray for all those involved, including those whose homes were damaged, and those providing rescue and response. Please be merciful in comforting, healing, and meeting every need.",False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,244
0,18090704719536539,38,This is so devastating .... 💔😫,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,38
19,18051131408123420,190,WHAT?! In the world is going on?,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,209
18,17890990659161433,71,What is happening right now in the skies?! 😢,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,89
8,18358686013127954,249,Trump didn't do this. It's time for all of us to come together and it's not political,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,257
0,18054603697878256,2,This so sad it very hard 🙏,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,2
3,18074658007729839,39,God bless them. May God please comfort their families. Stop with the politics. Have some dignity and respect.,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,42
4,18289352737169948,100,STOP THIS SHIT. Kids died. Let’s get answers.,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,104
1,18116531434436239,42,Praying for all families of plane disaster and those on the ground who have been impacted.,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,43
18,17896975467107946,154,These people would some how blame Trump for a tornado omg 😭 these plane crashes are not his fault 😂🖐️,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,172
0,18384217774118228,2,😮😮😮😮😮,False,https://www.instagram.com/p/DFhCsRbt-u4/?igsh=NnQ3NDRvOXZkaTlq,2
4,17887104585194563,1,"Ron DeSantis’ parents, Karen Rogers DeSantis and Ronald Daniel DeSantis, are both of Italian descent. His father’s family has roots in Italy’s Abruzzo region, while his mother’s side traces back to Campania, near Naples. However, both of his parents were born in the United States.",False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,5
0,18312363169206218,1,👏👏👏,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,1
0,18053074922109663,1,🔥,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,1
0,18114603982450431,13,All governors and senators should be on board,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,13
19,18019155311662615,6,Why is it only Mexicans?,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,25
0,18134318281388571,1,We want you next Ron DeSantis 🇺🇸🇺🇸🇺🇸🇺🇸,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,1
10,18291220381240255,33,"Great, that way you won’t be able to rebuild your city because of lack of workers on construction.  You are forgetting that part!",False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,43
7,18032033378618476,27,"President Trump is really making America great again, just like Florida. And President Trump is paving the way for Governor Ron DeSantis to become the next President of the United States of America.",False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,34
0,17862371199260482,5,People.dont forget the mass deportations Obama did in 05 or so.. ..just saying..,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,5
0,17945689220945994,5,Ron will definitely be a future president,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,5
0,18021790862403102,1,This is like David Duke supporting an idea of Nathaniel Bedford Forrest,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,1
3,17994993728763298,5,I hope they don't deport me back to Cabo San Lucas.,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,8
0,18019220621458074,1,Yes!!!,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,1
1,18066840163842064,0,if liberals want to keep them why don’t you adopt or have them in your home ?,False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,1
3,18057001274063040,9,"Tax the rich! 📢
Oh wait, the rich are in the office...
Minorities is about to be taxed!",False,https://www.instagram.com/reel/DFkday6NCbc/?igsh=dXF4bXV6dWZrNDFn,12
7,18040143254593255,195,Trump!! Trump!! Trump!!!Republicans forever!!!,False,https://www.instagram.com/p/DFh_ZBotfuc/?igsh=MWNkYjlpYTZsd3d0aQ==,202
36,18061912627821907,440,Taking back our country! We should all be proud!,False,https://www.instagram.com/p/DFh_ZBotfuc/?igsh=MWNkYjlpYTZsd3d0aQ==,476
5,18053428495887856,128,❤🙌🇺🇸🇺🇸🇺🇸 YES !! it’s called national security 🇺🇸🇺🇸🇺🇸,False,https://www.instagram.com/p/DFh_ZBotfuc/?igsh=MWNkYjlpYTZsd3d0aQ==,133
0,18031829273571981,2,👏👏👏👏👏👏👏,False,https://www.instagram.com/p/DFh_ZBotfuc/?igsh=MWNkYjlpYTZsd3d0aQ==,2
3,17879419398238913,203,👏👏👏 Thank God for PRESIDENT TRUMP!!🇺🇸🇺🇸🇺🇸,False,https://www.instagram.com/p/DFh_ZBotfuc/?igsh=MWNkYjlpYTZsd3d0aQ==,206
